cid,text,time,author,channel,votes,photo,heart
UgznCaeSl93r5qolVOx4AaABAg,Keep the masses in line through fear.,8 dagen geleden,John Wilson,UCMDCmh117culfcVT8-4VARA,0,https://yt3.ggpht.com/ObS6Yh4pkEEehpBtp_A5nkHVuqnihrMwiUQiMCEb5MA67eqsib6nrsTtxrQKLhVuselxJTFUvA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKc5iCKk_frcPxoeR4AaABAg,Delta + Omicron = Media Control,8 dagen geleden,Sup reme,UCPBjOyqP7tLl5IF-mWObwew,0,https://yt3.ggpht.com/ytc/AKedOLSL8xXlUNyCaADdElRh8THS-T4JMwzziSOFjb4T=s176-c-k-c0x00ffffff-no-rj,0.0
UgwyXcqVbylP5J-Hl454AaABAg,"If we use the alphabet for storms and the Greek for virus pandemic variants, why did we start at ""D"" Delta, skip a few letters then ""O"" Omicron?",9 dagen geleden,Doug Nuttall,UCgJZaPx35tu2DTq2bGsJSYg,0,https://yt3.ggpht.com/ytc/AKedOLQ8bf-Oqz2TzN5JsXSFq5YY57NjLoFtrELJ3wpz7koCKvVayYdZGButh0B02M3H=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7Rdl7poYqWYQtp114AaABAg,Which risk? Symptoms are mild.,9 dagen geleden (bewerkt),juliobro1,UCHkuEOn3RE-t315PILqPT0w,0,https://yt3.ggpht.com/ytc/AKedOLSCPf04CIKhhlptbaHwCsaRu6BTc6k6kKk-VLev=s176-c-k-c0x00ffffff-no-rj,0.0
UgylBZkjoVjhNQU8EXx4AaABAg,Obesity is a pretty high risk of death too,9 dagen geleden,BEYOND__BARBELLS,UC6b6SHrIgNsh7SP4wG-bx3g,0,https://yt3.ggpht.com/ytc/AKedOLT-Thufjl1x6NS4o4vgEkjEyvEglF8aqY8RIYZ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgyE1WHN98eZahxp8ZR4AaABAg,"The South African doctor who 'discovered' (i.e., first detected) the 'new super-mutant streamlined ninja killer spiked Botswana HIV variant of Covid' has spoken on how, in her professional opinion, the UK government has overreacted:

https://youtu.be/0g3xJBIOASw

It is all media hype and a disproportionate - and irrational - reaction on the part of governments and the public.",9 dagen geleden,Our Man in the East,UCD9aj0kBFKqoRijOL2nWOGQ,0,https://yt3.ggpht.com/760cCCIpLwtbQOCHbXroTHa9IkvRwCoC2R937YIngxZNJY8GOfTSK0WCOtuhTubUE0_CnJQe=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJrrBa41kFpnDp-gV4AaABAg,ffs wake up to this BULLSHIT,9 dagen geleden (bewerkt),graham hunt,UCozy8wMpz6_JBF6juPt9O_w,0,https://yt3.ggpht.com/ytc/AKedOLTQpIdnUkGdsPLXsRJzMZPvTgP5pAthnEMXCtn9-A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzh31K_3a0EYXSh5zN4AaABAg,"remember to wear your jacket this winter everyone, so other people dont get cold.",9 dagen geleden,forever tipsy,UCOn2nCvPWkYwGHmogmL01Dw,0,https://yt3.ggpht.com/ytc/AKedOLTmzT92kZ9pI4i5BNyPw75fF5mN8JIiiWvp-BtM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwGfswohDtYo_OaTB4AaABAg,China might be looking all this death  and smiling.... Mission successful🏆💪,9 dagen geleden,Manish Patil,UCMW7vyjW05z3blO6tcGlPbw,0,https://yt3.ggpht.com/ytc/AKedOLSy4WKnDHVY7QGWkbT3-oT3cgwPXZxt6uoL94lZ8w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIz3OKwEEucOIlAVd4AaABAg,look up BOWIE ~ OMIKRON ~ PROMO 1999,9 dagen geleden, Ophiuchus 67,UCQ-M248IYlSWHkPWfu2FS4w,0,https://yt3.ggpht.com/zt5fT9tAXU0KhTh_cd4Ih1Ig5d0fMluTO2OgRxfpLHyxBHzMoFUO69QpEt58OmNafEuJl8SMQQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUTwsRX4ZlD1poUrx4AaABAg,How many deaths,9 dagen geleden,Jean Hubley,UCF1H_HtBXy-mMdhVzTwQV0w,0,https://yt3.ggpht.com/ytc/AKedOLSF74mYn1L9ewGM4Yo2HNbsjurEePzrkw8J=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFhWMC1n2JX7ra0YN4AaABAg,How Moronic..... Anagram,9 dagen geleden,Helen Nightingale,UC_V2nBLbxaa8B2k6WPDjKkw,0,https://yt3.ggpht.com/ytc/AKedOLTPAzQBHZWae1m1G6Jef4uOd33pkVQTaXhU8A7Erffe5EEhW5glCXyNLml6Js3a=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLn6K3ieECsRTTrZp4AaABAg,Ummm well I always say it can't get worser um I'm wrong as usual. So what's worser then a virus that figures out how vaccine s and the body work.um well this virus is gonna keep mututing it doesn't  look like it'll go. Anywhere just keep mutating.,10 dagen geleden,Brian Young,UCmL9OicRg2Y-S3QhUDIF6yQ,0,https://yt3.ggpht.com/ytc/AKedOLRDWlnUeJFQtpZRjLjcYNmADTGK79Fg-37d50P2lhkmWSTr8G467Ux8htQnZeIy=s176-c-k-c0x00ffffff-no-rj,0.0
