cid,text,time,author,channel,votes,photo,heart
Ugw_ThUxIVZhyqKNeVZ4AaABAg,Am I the only one who noticed this new Redhorn weapon being exactly the same Nagamitsu weapon from Honkai??,7 dagen geleden,Akemi,UC9dBkzjVGbvY4s2W87X9RLg,0,https://yt3.ggpht.com/YG4sF8lgLcYQMR5g4pgDhHO5cqObrlvxA70U8gWn9kQVxFKL14L2ME-UMCNjToCGyFrXAAi6xQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMD9S-VOgtwHu71M54AaABAg,"Please can someone help me, I want to play the game but every time I try to enter the error 9907, can someone tell me how to solve it?",7 dagen geleden,Demon Midoriya,UCtw9109Z136C_RDBossygaA,1,https://yt3.ggpht.com/ytc/AKedOLQ_ukdDJOebaHDqg3citGBfFmC-sXKheVxvzVbwioMGUdmHCv2TT5Ng4cOoXPN1=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8_ZNd4101m-3glrh4AaABAg,Ааааааааа у меня через пять круток гарант а до конца баннера Эолы  осталось 4 дня надеюсь успею забрать Эолочку к себе домой,8 dagen geleden,Lyonyakolobok,UCNQbW8ZWqIdiKK1_G1CBChQ,0,https://yt3.ggpht.com/lls5cAzuda11lAJne4WBUJ7QFLNLbM5r5Gxq8IaUctIwn4zMeKKKo6p55NEPTtDQW7m5PT3T=s176-c-k-c0x00ffffff-no-rj,0.0
UgxC5PXXUyq66upRWeR4AaABAg,"hermoso, este es el avance q mas hype me dio y me seguira dando",8 dagen geleden,ErosAH,UCexzQ8-zF2vUG-iOKBdLlSw,1,https://yt3.ggpht.com/AIoVpYbZJUDkH9e4GusnXRrGWwkDqy7dg9Olj2Vi9posRRtkoH7n5c2jkY8qxYk8ySIVAckWWJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZcuI-Su5uoxIHDSl4AaABAg,Cara como a dublagem em inglês é horrivel pqp,8 dagen geleden,Senciel 879,UC-HG0Kp5NBW0JLu0csZXL5A,0,https://yt3.ggpht.com/ytc/AKedOLT-2v2rZsbuXGgCyMLAkIIzBamIMIP_0YHHm3uL4Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMD9S-VOgtwHu71M54AaABAg.9Vi3NVgjZSY9VqGd0C2HOH,that means you dont have enough storage. you need at least 20 gb free space for this game.,4 dagen geleden,Umar Salafi,UC6JIb3i-M-BnOfkA61F2kRA,1,https://yt3.ggpht.com/ytc/AKedOLR6SU0JiykO7MLmkUQ5MOf9dfLOkpYgq8YXArJa=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8_ZNd4101m-3glrh4AaABAg.9VhWvTQKn0J9VjPhcXA6_R,ААААААААА МНЕ ВЫПАЛА ЭОЛА,7 dagen geleden,Lyonyakolobok,UCNQbW8ZWqIdiKK1_G1CBChQ,0,https://yt3.ggpht.com/lls5cAzuda11lAJne4WBUJ7QFLNLbM5r5Gxq8IaUctIwn4zMeKKKo6p55NEPTtDQW7m5PT3T=s176-c-k-c0x00ffffff-no-rj,0.0
UgwGl4stsH0xHKf-GQx4AaABAg,2:03 It's not in the game.😥,8 dagen geleden (bewerkt),I like me Too,UCSRkzacNPz_hjq6_JQATW4g,1,https://yt3.ggpht.com/hZrZRryj4jgnKF-iB0TWC8LWpcglI0b_8YBp_yC_SabyNchQgRqazCEpniHLr2QZ4XNnE4kK=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfrxbVLw_T_Ezd46l4AaABAg,Boi,8 dagen geleden,Tubby Tub,UCiPYvXKDc-uqWGG00cwd3ig,0,https://yt3.ggpht.com/oYOMIY8Qam8e0Nt1xet-qOUqWMarD-4xd-nq_J5HyRcH1LvxVelDojv-cFDLGFY2eeAEXolXXAY=s176-c-k-c0x00ffffff-no-rj,0.0
UgygcAXHKDAyM_ZqPG54AaABAg,"""It's Showtime"". Hmm where have I heard this before?",9 dagen geleden,The SlickDevil,UCWnlQOT4xTP93URu27uy-VQ,0,https://yt3.ggpht.com/ytc/AKedOLREitZtakLTr7b758JbTXX5k156hgNMD1Wbdf9PmQ=s176-c-k-c0x00ffffff-no-rj,0.0
