,LINK,ENTITY,FR_TOP,SM_TOP
0,https://genshin-impact.fandom.com/wiki/qiqi,qiqi,"['qiqi vision', 'death flags', 'story years', 'adeptal energy', 'adeptus qiqis']","['barbara better qiqi', '2140 reasons japanese', 'ruin klee career', '1850 authorias barbara', 'killed 6793 satan']"
1,https://genshin-impact.fandom.com/wiki/hu tao,hu tao,"['hu tao', 'banner klee', 'support dps', 'kazuha canadian', 'ill xiao']","['3924 im excited', 'tao 9458 klee', '3946 legoliomanikas want', 'bad skipping 5330', 'canadian aether chos']"
2,https://genshin-impact.fandom.com/wiki/inazuma,inazuma,"['inazuma inazuma', 'electro archon', 'anemo vision', 'new region', 'klee kazuha']","['samurai soundtrack lit', 'bei 6395 bacon', '12536 samurai soundtrack', 'miss golden apple', 'goodbye golden apple']"
3,https://genshin-impact.fandom.com/wiki/geo,geo,"['geo vision', 'fake visions', 'us gods', 'barbatos morax', 'power celestia']","['ningguanga 4227 maybe', 'dreaming geo daddy', 'ningguang 6255 spikethewolf', 'zhongli wanted retire', 'dead person glowing']"
4,https://genshin-impact.fandom.com/wiki/zhongli,zhongli,"['zhongli venti', 'archons visions', 'power geo', 'empty vision', 'land something']","['ooo 6238 spikethewolf', 'bartender ski 13548', 'pity la 10218', '2132 somebody dies', 'zhongli dying battle']"
5,https://genshin-impact.fandom.com/wiki/mihoyo,mihoyo,"['mihoyo mihoyo', 'game new', 'us upcoming', 'anything people', 'white knight']","['1084 mihoyo playable', 'jewelry 4565 man', 'mihoyo killed characters', 'mihoyo killed lot', '7443 anime summer']"
6,https://genshin-impact.fandom.com/wiki/genshin,genshin,"['genshin impact', 'vision game', 'nothing new', 'video games', 'white knight']","['389 love genshin', 'forgot lame english', '2928 waiting tragic', 'wii resort 7091', 'mario tennis 7558']"
7,https://genshin-impact.fandom.com/wiki/eula,eula,"['things game', 'every single', 'eula dilemma', 'wishes star', 'klee banner']","['5159 wish want', 'home button 13829', '5975 jean sword', 'beidou finally 9113', '9113 luckily leaks']"
8,https://genshin-impact.fandom.com/wiki/jean,jean,"['jean jean', 'fish klee', 'new outfit', 'la skin', 'barbara skins']","['jean swimsuit best', 'chefs kiss 10544', 'new boss fighting', 'dying epic battle', 'fish blasting 8570']"
9,https://genshin-impact.fandom.com/wiki/xingqiu,xingqiu,"['bennett xingqiu', 'yae kaeya', 'xiao enjoyer', 'chongyun ganyu']","['xiao enjoyer chongyun', 'kaeya xiao enjoyer', 'imapotato dont bennett', '3779 imapotato dont', 'xingqiu like 10528']"
10,https://genshin-impact.fandom.com/wiki/klee,klee,"['klee klee', 'jean barbara', 'beidou kazuha', 'rerun banner', 'daughter alice']","['1562 thank klee', 'excited klee rerun', 'fish blasting 11453', 'klee rerun 10217', '13685 jokes klee']"
11,https://genshin-impact.fandom.com/wiki/childe,childe,"['death flag', 'theory mona', 'miphas grace', 'heart teucer', 'honkai lord']","['theory read 2857', 'childe favorite charact', 'die 9642 fly', 'honk 7740 hard', '1480 spoiler theory']"
12,https://genshin-impact.fandom.com/wiki/kaeya,kaeya,"['kaeya ganyu', 'death flags', 'bridge imapotato', 'monas voice', 'constellation hourglass']","['pitched kaeya 1473', 'nikki rivera lisa', 'better english 9494', 'just potato sanriozay', 'bartender ski 11678']"
13,https://genshin-impact.fandom.com/wiki/barbara,barbara,"['jean barbara', 'skin event', 'new area', 'klee maguu', 'beach outfit']","['new outfits bikini', '7262 barbara free', 'cute hell 12255', 'bikini dadd 10688', 'barbers older sister']"
14,https://genshin-impact.fandom.com/wiki/venti,venti,"['venti venti', 'vision gnosis', 'archons visions', 'geo archon', 'story quest']","['baal kill venti', '2213 baal kill', 'migh 887 missing', '887 missing vision', 'characters dying migh']"
15,https://genshin-impact.fandom.com/wiki/ayaka,ayaka,"['ayaka ayaka', 'bridge inazuma', 'kazuha primogems', 'first character', 'banner one']","['received dead 11960', '1409 ayaka isnt', 'kazuha 2323 stormycentaur', 'sad noises 10048', 'stormycentaur hate primogems']"
16,https://genshin-impact.fandom.com/wiki/kazuha,kazuha,"['kazuha kazuha', 'anemo vision', 'klee everyone', 'klees banner', 'new boss']","['luck beating 9235', '13306 thank ill', 'demon slayer 4218', '189 love trailer', 'kazuha killed 357']"
17,https://genshin-impact.fandom.com/wiki/alice,alice,"['klee alice', 'klees mom', 'world genshin', 'old woman', 'samurai puppet']","['king actually alice', '9967 wolfhooks alice', '9962 wolfhooks alice', 'dodoking just alice', 'alice dodoking pretending']"
