,LINK,ENTITY,FR_TOP,SM_TOP
0,https://genshin-impact.fandom.com/wiki/qiqi,qiqi,"['qiqi buff', 'second wish', 'jaimerais vraiment', 'vous la', 'dead emote']","['havent buffed qiqi', 'qiqi drums 5351', 'started game 2752', '981 qiqi dead', 'drums 5351 havent']"
1,https://genshin-impact.fandom.com/wiki/hu tao,hu tao,"['hu tao', 'ganyu rerun', 'second banner', 'thoma thoma', 'new hangout']","['4885 sigh skip', 'tao rerun halloween', 'new husband 5443', '3440 wish hu', '1021 sxpphire dragon']"
2,https://genshin-impact.fandom.com/wiki/inazuma,inazuma,"['tribe thunderbird', 'team inazuma', 'liking scaramouche', 'electro archon', 'relationship people']","['team inazuma mobs', 'quest xinyan 4137', 'chase festival quest', 'al 2305 moon', '1469 like players']"
3,https://genshin-impact.fandom.com/wiki/zhongli,zhongli,"['battle zhongli', 'weapon tartaglia', 'rerun banner', 'topic pose', 'string move']","['rerun banner 3060', '4468 love opportunity', 'zhongli play lyre', '3132 zhongli play', 'bard 1538 want']"
4,https://genshin-impact.fandom.com/wiki/mihoyo,mihoyo,"['xinyan mihoyo', 'anniversary rewards', 'issues game', 'tartaglia rerun', 'canon canon']","['2957 love forget', 'prerecorded game bu', 'youhou time skip', 'mihoyo kills 6271', 'october prerecorded game']"
5,https://genshin-impact.fandom.com/wiki/genshin,genshin,"['genshin impact', 'game patch', 'character reruns', 'rerun banners', 'honkais team']","['seeing breakfast club', '502 genshin trailer', 'underrated genshin waifu', 'rerun banners 116', 'new trailer finally']"
6,https://genshin-impact.fandom.com/wiki/eula,eula,['childei eula'],"['hope eula gets', 'childei hope eula', '401 childei hope', 'eula gets rerun', 'gets rerun hopefully']"
7,https://genshin-impact.fandom.com/wiki/jean,jean,"['pity garunteed', 'jean th', 'baal nd', 'either hu', 'tao xiao']","['got jean th', 'garunteed got jean', 'pity garunteed got', 'im pity garunteed', '4132 im pity']"
8,https://genshin-impact.fandom.com/wiki/ganyu,ganyu,"['ganyu ganyu', 'another rerun', 'hu tao', 'banner skyward', 'weapon childe']","['having rerun ganyu', '373 need ganyu', 'twice ganyu guys', 'childe eternal 1743', '4248 xiaovin jay']"
9,https://genshin-impact.fandom.com/wiki/mona,mona,"['pity mona', 'kazuhas banner', 'hutao thoma', 'second one', 'skill lazy']","['home hydro banner', '4088 puppets assist', 'pity 1800 vbandit', 'mona skill lazy', 'come home hydro']"
10,https://genshin-impact.fandom.com/wiki/chongyun,chongyun,"['xinyan screen', 'time story', 'quest chongyun', 'moment thr', 'next update']","['isagani thats physical', 'physical dps weapon', 'screen time 5761', '3116 xinyan finally', 'xinyan finally screen']"
11,https://genshin-impact.fandom.com/wiki/xiao,xiao,"['xiao rerun', 'hu tao', 'albedo childe', 'nd place', 'lmao pain']","['rerun new husband', 'lmao 739 pain', 'xiao break lyre', '485 beg xiao', '2923 people disappointed']"
12,https://genshin-impact.fandom.com/wiki/klee,klee,"['albedo klee', 'stars weapon', 'eg venti', 'pyro dps', 'event banner']","['pattern rer 2064', 'tako forgot klee', 'banners shifted 3152', '1018 klee joke', 'lunarbit im picking']"
13,https://genshin-impact.fandom.com/wiki/diluc,diluc,"['diluc diluc', 'pyro dps', 'stars weapon', 'game characters', 'character thoma']","['new character thoma', 'dps 4573 justin', 'love diluc 2129', 'second rerunnow hav', 'gacha anime stan']"
14,https://genshin-impact.fandom.com/wiki/scaramouche,scaramouche,"['harbinger scaramouche', 'tribe thunderbird', 'electro archon', 'relationship people', 'southernmost island']","['childe playable harbinger', 'leaker sayin 3070', 'playable harbinger scaramou', 'flashba 4351 childe', 'scaramouche storyquest 1810']"
15,https://genshin-impact.fandom.com/wiki/childe,childe,"['childe rerun', 'standard banner', 'update thoma', 'hu tao', 'third time']","['god win 1156', 'childe rerun 5270', 'favorite child 3564', '3371 going twins', 'new husband 5446']"
16,https://genshin-impact.fandom.com/wiki/kaeya,kaeya,"['kaeya childes', 'tbh xinyan', 'hype hate', 'fully personality', 'good mihoyo']","['cool good hes', 'hes 5058 kaeya', 'childes cool good', 'kaeya hangout 3601', '2148 kaeya hangout']"
17,https://genshin-impact.fandom.com/wiki/tartaglia,tartaglia,"['tartaglia tartaglia', 'rerun banner', 'thoma new', 'hu tao', 'another one']","['521 want sweet', 'love 606 good', 'whyyyyy tartaglia rerun', '3646 tartaglia noelle', 'happy tartagl 3002']"
18,https://genshin-impact.fandom.com/wiki/barbara,barbara,"['chiyukizu barbara', 'dps crowned', 'xinyan something', 'talents weapon', 'healer fair']","['mean barbara dps', '5968 chiyukizu seen', 'chiyukizu seen dps', 'chiyukizu mean barbara', 'dps vapor 5968']"
19,https://genshin-impact.fandom.com/wiki/venti,venti,"['zhongli venti', 'tribe thunderbird', 'liking scaramouche', 'electro archon', 'relationship people']","['noticed 1532 hoping', '1550 girl sensation', 'venti rerun missed', 'rerun missed venti', 'rerun banner 519']"
20,https://genshin-impact.fandom.com/wiki/aether,aether,"['aether canon', 'people energy', 'knf author', 'lyre instrument', 'traveler butter']","['317 butter did', 'calmly playing lyre', '948 trailers make', 'playing lyre wit', '3654 sword aether']"
21,https://genshin-impact.fandom.com/wiki/signora,signora,"['childe signora', 'scaramouche future', 'playable harbinger', 'cryo archon', 'first banner']","['im finished 2954', 'xinyan theyll ashes', 'kill like did', 'stupid angry traveler', '4380 shes dead']"
22,https://genshin-impact.fandom.com/wiki/ayaka,ayaka,"['ayaka future', 'surname whole', 'hangouts noelle']","['ayaka just surname', 'calling ayaka just', 'ayaka future hangouts', 'hangouts 5248 calling', 'future hangouts 5248']"
23,https://genshin-impact.fandom.com/wiki/albedo,albedo,"['xiao albedo', 'rerun ganyu', 'childe guys', 'childes nd', 'banner context']","['1016 albedo rerun', 'netflix weeb albedo', 'new husband 5434', 'rerun new husband', '2288 netflix weeb']"
24,https://genshin-impact.fandom.com/wiki/fatui,fatui,"['people loss', 'fatui inazuma', 'friend ei', 'way easy', 'imo supreme']","['nah doesnt resent', 'doesnt resent kil', '1504 shiro xkuro', 'kil 5064 fatui', 'resent kil 5064']"
25,https://genshin-impact.fandom.com/wiki/kazuha,kazuha,"['kazuha xinyan', 'albedo klee', 'eg venti', 'hu tao', 'banner chance']","['kazuha just vibibing', 'lunarbit im picking', 'happy break welkin', 'uwu 6464 glad', 'lyre vent 2350']"
26,https://genshin-impact.fandom.com/wiki/raiden shogun,raiden shogun,"['raiden shogun', 'quest ei', 'eternity omg', 'characters herrrrrrr']","['want quest sees', '1501 want quest', '4424 raiden shogun', 'raid 4424 raiden', 'eternity love omg']"
27,https://genshin-impact.fandom.com/wiki/yae,yae,"['banner yae', 'banners saved', 'primos kokomis', 'rerun favorite', 'hydro character']","['passing banners spent', '4139 wait little', 'sav 2773 im', 'childe getting rerun', '2773 im glad']"
28,https://genshin-impact.fandom.com/wiki/xinyan,xinyan,"['xinyan xinyan', 'quest role', 'rock star', 'attention childe', 'mihoyo nooooooooo']","['girl xinyan gotten', 'xinyan girl waiting', 'love 5431 xinyan', 'happy 3748 finally', 'love trailer finally']"
