,LINK,ENTITY,FR_TOP,SM_TOP
0,https://genshin-impact.fandom.com/wiki/Guoba,guoba,"['guoba guoba', 'hands standing', 'dhdbhjgxekhdisbxj baal', 'enemies one', 'everyone yae']","['standing cursed 12976', '10790 actually scared', 'terrified standing guoba', '10115 fish claymore', 'big 10115 fish']"
1,https://genshin-impact.fandom.com/wiki/Childe,childe,"['cryo delusion', 'phase traveller', 'signora signora', 'disaster childe', 'foul legacy']","['945 hydro cube', 'sumons whales hypostatis', '16494 slawischstreiter play', '12490 raiden spear', 'whales hypostatis teacher']"
2,https://genshin-impact.fandom.com/wiki/Signora,signora,"['signora signora', 'baal baal', 'crimson witch', 'scaramouche inazuma', 'weekly boss']","['scared signora battle', '17857 cupergaming nope', 'wars fans 14748', 'signora drooling 2285', 'signora lost fight']"
3,https://genshin-impact.fandom.com/wiki/Scaramouche,scaramouche,"['scaramouche scaramouche', 'la signora', 'fight baal', 'archon quest', 'first time']","['wallet 7454 excited', 'laughing creaming 12531', '4770 aether fainted', 'dropped 13558 hell', '15463 scaramouche stole']"
4,https://genshin-impact.fandom.com/wiki/Inazuma,inazuma,"['liyue inazuma', 'electro archon', 'raiden shogun', 'visions statue', 'new characters']","['mondstadt enemy dragon', 'traitor 5324 loving', 'sad 264 kid', 'movie trailer speechless', '729 feel sorry']"
5,https://genshin-impact.fandom.com/wiki/Kazuha,kazuha,"['kazuha kazuha', 'baal kazuhas', 'friends vision', 'playable character', 'friend friend']","['18363 pray kazuha', 'kazuha diesyoull news', '15935 better kill', '16535 kazuha fights', 'kazuha dead 465']"
6,https://genshin-impact.fandom.com/wiki/Genshin,genshin,"['genshin genshin', 'game time', 'lumine traveler', 'honkai players', 'character people']","['better 11421 love', 'salty tunaaaaaaaaaaa 5631', '11041 farmingbuilding fishing', '15419 xbox support', 'new fishing mechanic']"
7,https://genshin-impact.fandom.com/wiki/Yae,yae,"['yae yae', 'baal kokomi', 'electro archon', 'raiden shogun', 'visions statue']","['10328 heart attack', '3926 skipped trailer', 'making sick female', 'cute 17465 sorry', '17259 gonna lie']"
8,https://genshin-impact.fandom.com/wiki/Raiden_Shogun,raiden shogun,"['raiden shogun', 'vision bearers', 'yae miko', 'visions statue', 'la signora']","['blade raiden 3827', '2337 damn player', '12583 raiden shogun', 'raiden shogun 13324', '17138 villain vibes']"
9,https://genshin-impact.fandom.com/wiki/Mihoyo,mihoyo,"['mihoyo us', 'honkai impact', 'story quest', 'playable character', 'signora baals']","['better trailers 16402', 'ping play 2565', '7244 joke free', '14264 salty tuna', 'mihoyo 17254 therapist']"
10,https://genshin-impact.fandom.com/wiki/Claymore,claymore,"['fish claymore', 'element electro', 'lmao cross', 'mihoyo fisherman', 'beautiful twt']","['enemies 8428 fish', 'freakin fish claymore', 'big fish 3464', 'fish claymore 9212', 'claymore 1005 fish']"
11,https://genshin-impact.fandom.com/wiki/Aether,aether,"['aether lumine', 'traveler traveler', 'baal something', 'dull blade', 'every trailer']","['love 3901 dead', 'aether 2140 boys', 'twins fight choose', 'god fish sword', 'awaken dead visions']"
12,https://genshin-impact.fandom.com/wiki/Hu_Tao,hu tao,"['hu tao', 'signora hardest', 'guy inazuma', 'bow gladiator', 'war death']","['9692 zeus calculation', 'sweating bc leaker', 'gonna hardest 7913', '10763 inazuma war', 'war death starvation']"
13,https://genshin-impact.fandom.com/wiki/Traveler,traveler,"['traveler baal', 'golden aura', 'fighting signora', 'boy scaramouche', 'big stupid']","['shut 3837 maybe', '9219 kazuha die', 'traveler literally dying', 'interrupted fight traveler', '1909 traveler fighting']"
14,https://genshin-impact.fandom.com/wiki/Fatui,fatui,"['baal fatui', 'us signora', 'vision hunt', 'everyone sara', 'kojou clan']","['clown like baal', 'member satans breeds', 'watching 4247 sara', 'uploading 3336 raiden', '3449 world saramouche']"
15,https://genshin-impact.fandom.com/wiki/Kujou_Sara,kujou sara,"['kujou sara', 'watatsumi island', 'finale raiden', 'honor zuko', 'sound update']","['sara fatui 9285', '2193 kujou sara', 'sara 16033 kujou', 'good 1336 update', 'sara come home']"
16,https://genshin-impact.fandom.com/wiki/Venti,venti,"['signora venti', 'crimson witch', 'weekly boss', 'traveler mains', 'bit scaramouche']","['boss fight revenge', 'stans time revenge', '1621 revenge beauty', 'witch flames 8224', '15871 hate soloing']"
