,LINK,ENTITY,FR_TOP,SM_TOP
0,https://genshin-impact.fandom.com/wiki/Mihoyo,mihoyo,"['xinyan mihoyo', 'anniversary rewards', 'issues game', 'tartaglia rerun', 'canon canon']","['2957 love forget', 'prerecorded game bu', 'youhou time skip', 'mihoyo kills 6271', 'october prerecorded game']"
1,https://genshin-impact.fandom.com/wiki/Genshin,genshin,"['genshin impact', 'game patch', 'character reruns', 'rerun banners', 'honkais team']","['seeing breakfast club', '502 genshin trailer', 'underrated genshin waifu', 'rerun banners 116', 'new trailer finally']"
2,https://genshin-impact.fandom.com/wiki/Tartaglia,tartaglia,"['tartaglia tartaglia', 'rerun banner', 'thoma new', 'hu tao', 'another one']","['521 want sweet', 'love 606 good', 'whyyyyy tartaglia rerun', '3646 tartaglia noelle', 'happy tartagl 3002']"
3,https://genshin-impact.fandom.com/wiki/Childe,childe,"['childe rerun', 'standard banner', 'update thoma', 'hu tao', 'third time']","['god win 1156', 'childe rerun 5270', 'favorite child 3564', '3371 going twins', 'new husband 5446']"
4,https://genshin-impact.fandom.com/wiki/Hu_Tao,hu tao,"['hu tao', 'ganyu rerun', 'second banner', 'thoma thoma', 'new hangout']","['4885 sigh skip', 'tao rerun halloween', 'new husband 5443', '3440 wish hu', '1021 sxpphire dragon']"
5,https://genshin-impact.fandom.com/wiki/Xinyan,xinyan,"['xinyan xinyan', 'quest role', 'rock star', 'attention childe', 'mihoyo nooooooooo']","['girl xinyan gotten', 'xinyan girl waiting', 'love 5431 xinyan', 'happy 3748 finally', 'love trailer finally']"
6,https://genshin-impact.fandom.com/wiki/Thoma,thoma,"['thoma new', 'waoh childe', 'ik xiao', 'banner love', 'hu tao']","['lost brother thoma', 'xinyan thought 1597', 'stopped everytime thoma', '816 new female', 'hangout events 3610']"
