,LINK,ENTITY,FR_TOP,SM_TOP
0,https://genshin-impact.fandom.com/wiki/Alice,alice,"['klee alice', 'klees mom', 'world genshin', 'old woman', 'samurai puppet']","['king actually alice', '9967 wolfhooks alice', '9962 wolfhooks alice', 'dodoking just alice', 'alice dodoking pretending']"
1,https://genshin-impact.fandom.com/wiki/Klee,klee,"['klee klee', 'jean barbara', 'beidou kazuha', 'rerun banner', 'daughter alice']","['1562 thank klee', 'excited klee rerun', 'fish blasting 11453', 'klee rerun 10217', '13685 jokes klee']"
2,https://genshin-impact.fandom.com/wiki/Mihoyo,mihoyo,"['mihoyo mihoyo', 'game new', 'us upcoming', 'anything people', 'white knight']","['1084 mihoyo playable', 'jewelry 4565 man', 'mihoyo killed characters', 'mihoyo killed lot', '7443 anime summer']"
3,https://genshin-impact.fandom.com/wiki/Genshin,genshin,"['genshin impact', 'vision game', 'nothing new', 'video games', 'white knight']","['389 love genshin', 'forgot lame english', '2928 waiting tragic', 'wii resort 7091', 'mario tennis 7558']"
4,https://genshin-impact.fandom.com/wiki/Barbara,barbara,"['jean barbara', 'skin event', 'new area', 'klee maguu', 'beach outfit']","['new outfits bikini', '7262 barbara free', 'cute hell 12255', 'bikini dadd 10688', 'barbers older sister']"
5,https://genshin-impact.fandom.com/wiki/Inazuma,inazuma,"['inazuma inazuma', 'electro archon', 'anemo vision', 'new region', 'klee kazuha']","['samurai soundtrack lit', 'bei 6395 bacon', '12536 samurai soundtrack', 'miss golden apple', 'goodbye golden apple']"
6,https://genshin-impact.fandom.com/wiki/Dvalin,dvalin,"['beach dvalin', 'long distances', 'us summer', 'thing game', 'ride island']","['ancient celestial beast', 'airlines 1852 think', 'game need 2189', 'uber beach 2304', 'personal airplane 5420']"
7,https://genshin-impact.fandom.com/wiki/Kazuha,kazuha,"['kazuha kazuha', 'anemo vision', 'klee everyone', 'klees banner', 'new boss']","['luck beating 9235', '13306 thank ill', 'demon slayer 4218', '189 love trailer', 'kazuha killed 357']"
8,https://genshin-impact.fandom.com/wiki/Jean,jean,"['jean jean', 'fish klee', 'new outfit', 'la skin', 'barbara skins']","['jean swimsuit best', 'chefs kiss 10544', 'new boss fighting', 'dying epic battle', 'fish blasting 8570']"
9,https://genshin-impact.fandom.com/wiki/Vision,vision,"['vision bearer', 'people archon', 'nobody zhongli', 'deactivated visions', 'kazuha acquaintance']","['vision holder dies', '893 trailer scene', '11248 vision losing', 'kazuha forced kill', 'forced kill 2181']"
10,https://genshin-impact.fandom.com/wiki/Xiao,xiao,"['xiao venti', 'story quest', 'vision klee', 'massive update', 'visions users']","['si 10668 turbo_hunters', 'evil hilichurl boss', 'samurai enemy looks', 'xiao killed 3314', 'subdps 733 samurai']"
11,https://genshin-impact.fandom.com/wiki/Mona,mona,"['klee mona', 'master vision', 'monas teacher', 'many people', 'mondstadt design']","['shell probably 1336', '1480 spoiler theory', 'mona qiqi joke', 'birthday gi 1308', 'mihoyo mona birthday']"
12,https://genshin-impact.fandom.com/wiki/Albedo,albedo,"['albedo kaeya', 'death flags', 'backstory visions', 'new story', 'khaenriah master']","['albedo joke 1327', 'albedo 6211 funny', '3473 know albedo', 'facepalms 1971 albedo', 'albedo 2926 albedo']"
13,https://genshin-impact.fandom.com/wiki/Kaeya,kaeya,"['kaeya ganyu', 'death flags', 'bridge imapotato', 'monas voice', 'constellation hourglass']","['pitched kaeya 1473', 'nikki rivera lisa', 'better english 9494', 'just potato sanriozay', 'bartender ski 11678']"
14,https://genshin-impact.fandom.com/wiki/Ayaka,ayaka,"['ayaka ayaka', 'bridge inazuma', 'kazuha primogems', 'first character', 'banner one']","['received dead 11960', '1409 ayaka isnt', 'kazuha 2323 stormycentaur', 'sad noises 10048', 'stormycentaur hate primogems']"
15,https://genshin-impact.fandom.com/wiki/Venti,venti,"['venti venti', 'vision gnosis', 'archons visions', 'geo archon', 'story quest']","['baal kill venti', '2213 baal kill', 'migh 887 missing', '887 missing vision', 'characters dying migh']"
16,https://genshin-impact.fandom.com/wiki/Qiqi,qiqi,"['qiqi vision', 'death flags', 'story years', 'adeptal energy', 'adeptus qiqis']","['barbara better qiqi', '2140 reasons japanese', 'ruin klee career', '1850 authorias barbara', 'killed 6793 satan']"
